epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.65534,1.43151,3.17954,1.84004,0.00751,0.85185,0.47887,0.27867,1.42493,3.09674,2.28584,0.00020006,0.00020006,0.00020006
2,10.9508,1.04884,2.72001,1.5004,0.02042,1,0.56718,0.35174,1.00307,2.92793,1.61294,0.000412769,0.000412769,0.000412769
3,16.2975,0.99748,2.09575,1.45175,0.01148,1,0.78174,0.53465,1.13623,2.69323,1.80035,0.00062378,0.00062378,0.00062378
4,21.7674,1.0164,1.70824,1.47652,0.85256,0.57596,0.91,0.58223,1.2629,2.36425,2.21213,0.000833094,0.000833094,0.000833094
5,27.3277,0.91564,1.39246,1.37609,0.58037,0.53704,0.61294,0.42176,1.00674,2.06301,1.86233,0.00104071,0.00104071,0.00104071
6,32.5314,0.97253,1.36227,1.40113,0.76967,0.3326,0.31269,0.14944,2.151,2.84198,2.60399,0.00124663,0.00124663,0.00124663
7,37.6023,0.93557,1.32359,1.37916,0.97344,0.14815,0.21322,0.11213,2.32278,2.54154,2.73418,0.00139505,0.00139505,0.00139505
8,42.5061,0.89961,1.17404,1.32516,0.69668,0.55556,0.6592,0.3981,1.37805,2.03288,2.30523,0.00138939,0.00138939,0.00138939
9,47.3361,0.88704,1.11673,1.32285,0.85327,0.7963,0.87314,0.58741,1.0234,1.81784,1.7902,0.00138373,0.00138373,0.00138373
10,52.2777,0.86197,1.12632,1.32299,0.76753,0.66667,0.80622,0.46198,1.48475,1.72035,2.3585,0.00137807,0.00137807,0.00137807
11,57.1448,0.84841,1.05685,1.30875,0.71992,0.84262,0.92417,0.69244,0.9132,1.2221,1.51064,0.00137241,0.00137241,0.00137241
12,62.0476,0.82371,0.99101,1.27827,0.7131,0.68006,0.73191,0.55505,1.05423,1.86707,1.87663,0.00136675,0.00136675,0.00136675
13,67.148,0.84725,1.06339,1.30469,0.7936,0.91643,0.96702,0.79577,0.82197,1.02184,1.3819,0.00136109,0.00136109,0.00136109
14,72.0712,0.8353,1.00824,1.28104,0.79063,0.86884,0.96778,0.73118,0.93661,1.33734,1.60614,0.00135544,0.00135544,0.00135544
15,77.0175,0.8067,0.99966,1.28216,0.83341,0.90624,0.88945,0.66472,0.95618,1.39128,1.73057,0.00134978,0.00134978,0.00134978
