epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.46239,1.43151,3.17954,1.84004,0.00751,0.85185,0.47887,0.27867,1.42493,3.09674,2.28584,0.00020006,0.00020006,0.00020006
2,10.4407,1.05101,2.72432,1.49982,0.01647,1,0.56883,0.31548,1.09502,2.96326,1.79824,0.000410307,0.000410307,0.000410307
3,15.4224,1.00638,2.10593,1.46325,0.01634,1,0.73357,0.48196,0.96702,2.69932,1.61325,0.000616311,0.000616311,0.000616311
4,20.3764,1.05218,1.70811,1.50409,0.90335,0.33578,0.86093,0.48214,1.21632,2.46707,2.36004,0.00081807,0.00081807,0.00081807
5,25.2266,0.96139,1.45274,1.42133,0.8104,0.59259,0.8535,0.59059,0.89277,2.0963,1.67403,0.00101558,0.00101558,0.00101558
6,30.0645,0.95823,1.36407,1.41348,0.37922,0.43414,0.40509,0.27362,1.24257,2.46261,2.16489,0.00120886,0.00120886,0.00120886
7,34.92,0.98999,1.33072,1.42361,0.5281,0.57972,0.55047,0.36856,1.38276,2.13531,2.08432,0.00134412,0.00134412,0.00134412
8,39.7288,0.91019,1.1968,1.35048,0.75055,0.58365,0.83595,0.51473,1.14244,2.1447,2.06437,0.00132997,0.00132997,0.00132997
9,44.5396,0.88679,1.13688,1.33791,0.72808,0.79093,0.64991,0.51289,1.03692,1.82532,1.89303,0.00131582,0.00131582,0.00131582
10,49.3308,0.86651,1.11831,1.32458,0.34568,0.57407,0.5536,0.34874,1.28898,2.1427,2.01704,0.00130168,0.00130168,0.00130168
11,54.147,0.85866,1.06087,1.31798,0.76689,0.75995,0.79731,0.55867,1.13882,1.48537,1.7677,0.00128753,0.00128753,0.00128753
12,58.9795,0.81665,0.95775,1.26615,0.70606,0.6735,0.7327,0.52565,0.84753,1.44476,1.48336,0.00127338,0.00127338,0.00127338
13,63.8149,0.8251,1.03773,1.28529,0.93683,0.97819,0.995,0.77614,0.87307,0.86979,1.4982,0.00125923,0.00125923,0.00125923
14,68.7729,0.82977,0.99128,1.28051,0.75708,0.87611,0.95296,0.69702,1.03294,1.22348,1.77371,0.00124509,0.00124509,0.00124509
15,73.5849,0.81049,0.99264,1.28085,0.8242,0.9091,0.94524,0.61007,1.26896,1.6198,2.01117,0.00123094,0.00123094,0.00123094
16,78.396,0.79474,0.93554,1.26544,0.70713,0.80209,0.7342,0.45396,1.2178,1.58255,1.78811,0.00121679,0.00121679,0.00121679
17,83.1664,0.76746,0.89867,1.23677,0.70772,0.85297,0.93633,0.72759,0.87254,1.42765,1.4192,0.00120265,0.00120265,0.00120265
18,87.9577,0.74321,0.82103,1.21835,0.92708,0.88362,0.97929,0.84736,0.70504,0.83543,1.19544,0.0011885,0.0011885,0.0011885
19,92.7813,0.76747,0.8591,1.20623,0.93525,1,0.995,0.77352,0.79116,0.80497,1.46221,0.00117435,0.00117435,0.00117435
20,97.6438,0.74412,0.84157,1.20544,0.74706,0.88889,0.93243,0.78726,0.78978,1.23323,1.34542,0.00116021,0.00116021,0.00116021
21,102.455,0.74477,0.8338,1.2095,0.87491,0.93537,0.995,0.82341,0.70481,0.76719,1.2949,0.00114606,0.00114606,0.00114606
22,107.302,0.74183,0.80748,1.21184,0.94841,0.99966,0.995,0.74171,1.02066,0.8212,1.75093,0.00113191,0.00113191,0.00113191
23,112.202,0.72953,0.74775,1.21237,0.85724,0.45231,0.68934,0.5445,0.90636,1.88946,1.37751,0.00111776,0.00111776,0.00111776
24,117.023,0.72297,0.76088,1.20282,0.90274,0.95599,0.97929,0.8071,0.83194,0.72573,1.36954,0.00110362,0.00110362,0.00110362
25,121.838,0.68482,0.73933,1.16101,0.98265,0.98114,0.995,0.80931,0.76897,0.62741,1.39096,0.00108947,0.00108947,0.00108947
26,126.683,0.7162,0.72088,1.17344,0.94215,0.87037,0.96005,0.78924,0.81606,0.91719,1.41548,0.00107532,0.00107532,0.00107532
27,131.503,0.715,0.72229,1.19348,0.96745,0.96239,0.97012,0.84421,0.71028,0.63446,1.24865,0.00106118,0.00106118,0.00106118
28,136.297,0.68964,0.69564,1.17856,0.9528,0.97906,0.995,0.75537,0.93391,0.78343,1.59616,0.00104703,0.00104703,0.00104703
29,141.108,0.66413,0.65264,1.14005,0.95114,1,0.995,0.81193,0.80137,0.70907,1.43922,0.00103288,0.00103288,0.00103288
30,146.004,0.66661,0.66883,1.16423,0.83789,0.88768,0.94369,0.79073,0.69913,0.88208,1.23417,0.00101873,0.00101873,0.00101873
31,150.81,0.67591,0.65184,1.15979,0.94922,0.9046,0.995,0.86222,0.63742,0.64178,1.17277,0.00100459,0.00100459,0.00100459
32,155.647,0.66338,0.63786,1.15463,0.95436,0.94021,0.995,0.86925,0.67365,0.60951,1.16358,0.00099044,0.00099044,0.00099044
33,160.567,0.64186,0.6441,1.13972,0.98147,0.98061,0.995,0.87805,0.64915,0.59122,1.20112,0.000976293,0.000976293,0.000976293
34,165.398,0.63713,0.611,1.13825,0.98024,0.97731,0.995,0.87351,0.66333,0.57782,1.29109,0.000962146,0.000962146,0.000962146
35,170.259,0.65665,0.62959,1.13474,0.96824,0.8993,0.995,0.81107,0.77414,0.67963,1.35622,0.000947999,0.000947999,0.000947999
36,175.131,0.66473,0.62358,1.15214,0.84333,0.92044,0.995,0.8391,0.65376,0.69188,1.26118,0.000933851,0.000933851,0.000933851
37,179.972,0.61626,0.56754,1.11037,0.8471,0.91124,0.995,0.81754,0.70662,0.73163,1.31184,0.000919704,0.000919704,0.000919704
38,184.795,0.63234,0.58757,1.1189,0.80255,0.96379,0.9675,0.8139,0.72293,0.66531,1.28393,0.000905557,0.000905557,0.000905557
39,189.626,0.62233,0.60287,1.12332,0.85759,0.89343,0.94,0.81054,0.64299,0.69772,1.23141,0.00089141,0.00089141,0.00089141
40,194.474,0.63746,0.59905,1.12596,0.78577,0.97555,0.995,0.84427,0.70701,0.60777,1.24542,0.000877263,0.000877263,0.000877263
41,199.41,0.60273,0.56296,1.11478,0.9545,0.9555,0.995,0.84891,0.66283,0.4622,1.24834,0.000863116,0.000863116,0.000863116
42,204.24,0.63204,0.55664,1.12485,0.96846,0.83076,0.97722,0.81749,0.66969,0.60254,1.1736,0.000848969,0.000848969,0.000848969
43,209.073,0.63287,0.57755,1.12623,0.975,0.87024,0.98738,0.84024,0.69132,0.66012,1.26069,0.000834822,0.000834822,0.000834822
44,213.884,0.63884,0.56912,1.13431,0.95245,0.92471,0.995,0.84912,0.57497,0.49763,1.11058,0.000820675,0.000820675,0.000820675
45,218.661,0.61846,0.56946,1.11597,0.98298,1,0.995,0.84573,0.63313,0.57955,1.21901,0.000806528,0.000806528,0.000806528
46,223.513,0.62742,0.56738,1.12199,0.74487,0.9914,0.97929,0.77052,0.8792,0.72481,1.34621,0.00079238,0.00079238,0.00079238
47,228.309,0.60976,0.55364,1.10923,0.90553,0.95367,0.995,0.86749,0.61046,0.53038,1.09502,0.000778233,0.000778233,0.000778233
48,233.194,0.60628,0.54816,1.11113,0.95824,1,0.995,0.86206,0.62651,0.49043,1.13688,0.000764086,0.000764086,0.000764086
49,238.029,0.58586,0.52561,1.10306,0.96617,0.9912,0.995,0.86743,0.62595,0.45952,1.19194,0.000749939,0.000749939,0.000749939
50,242.926,0.59051,0.52427,1.09381,0.97585,0.99708,0.995,0.87848,0.63393,0.43678,1.20268,0.000735792,0.000735792,0.000735792
51,247.727,0.57691,0.50385,1.08961,0.9615,0.922,0.995,0.87411,0.68503,0.48189,1.2099,0.000721645,0.000721645,0.000721645
52,252.581,0.57892,0.49372,1.09194,0.80826,0.99236,0.995,0.87549,0.58387,0.51808,1.09735,0.000707498,0.000707498,0.000707498
53,257.41,0.56868,0.50768,1.07869,0.97359,0.99302,0.995,0.84785,0.62711,0.39984,1.1649,0.000693351,0.000693351,0.000693351
54,262.218,0.55857,0.48354,1.06562,0.98145,0.96819,0.995,0.83943,0.60541,0.39035,1.17663,0.000679204,0.000679204,0.000679204
55,267.06,0.56478,0.49316,1.07339,0.85334,0.9904,0.995,0.8756,0.57597,0.44937,1.16297,0.000665057,0.000665057,0.000665057
56,271.888,0.56423,0.47617,1.08657,0.81642,0.96655,0.90842,0.77792,0.60121,0.56248,1.1492,0.000650909,0.000650909,0.000650909
57,276.713,0.55638,0.49848,1.07875,0.9026,0.86185,0.96383,0.837,0.56614,0.59382,1.09317,0.000636762,0.000636762,0.000636762
58,281.568,0.54266,0.47063,1.06372,0.86166,0.91775,0.96167,0.85172,0.62468,0.64132,1.12419,0.000622615,0.000622615,0.000622615
59,286.458,0.54428,0.48642,1.06425,0.85414,0.89203,0.8096,0.72799,0.58113,0.79712,1.11163,0.000608468,0.000608468,0.000608468
60,291.264,0.56169,0.47958,1.08888,0.8564,0.8923,0.87784,0.80155,0.54157,0.70754,1.05398,0.000594321,0.000594321,0.000594321
61,296.05,0.54914,0.46821,1.0609,0.88099,0.89244,0.995,0.88535,0.57215,0.58361,1.13846,0.000580174,0.000580174,0.000580174
62,300.854,0.55271,0.45711,1.07108,0.90041,0.94721,0.995,0.87695,0.58541,0.48597,1.11633,0.000566027,0.000566027,0.000566027
63,305.698,0.55553,0.45807,1.07356,0.90323,0.94444,0.98738,0.8805,0.56889,0.529,1.05127,0.00055188,0.00055188,0.00055188
64,310.556,0.54519,0.45242,1.058,0.88804,0.93679,0.97722,0.87368,0.54847,0.50216,1.04343,0.000537733,0.000537733,0.000537733
65,315.37,0.55549,0.46708,1.06842,0.90103,0.94679,0.995,0.90142,0.56313,0.46675,1.03851,0.000523586,0.000523586,0.000523586
66,320.21,0.5455,0.4448,1.06852,0.8069,0.98853,0.995,0.89242,0.52922,0.5263,1.01396,0.000509438,0.000509438,0.000509438
67,325.213,0.53236,0.43922,1.06187,0.88427,0.97824,0.995,0.87494,0.52166,0.42888,1.0194,0.000495291,0.000495291,0.000495291
68,330.151,0.5407,0.44473,1.04555,0.97332,0.91475,0.995,0.89092,0.54136,0.39198,1.07556,0.000481144,0.000481144,0.000481144
69,335.073,0.52908,0.44485,1.06078,0.97014,0.97684,0.995,0.88886,0.5384,0.35278,1.03128,0.000466997,0.000466997,0.000466997
70,339.937,0.50191,0.41854,1.04992,0.97801,0.99906,0.995,0.88002,0.54243,0.35522,1.0644,0.00045285,0.00045285,0.00045285
71,344.736,0.50015,0.40439,1.04879,0.96827,0.97257,0.995,0.87141,0.54781,0.36834,1.08798,0.000438703,0.000438703,0.000438703
72,349.557,0.5314,0.43256,1.05811,0.90199,0.95523,0.995,0.87946,0.54288,0.47182,1.06519,0.000424556,0.000424556,0.000424556
73,354.384,0.50438,0.43344,1.03606,0.90186,0.95265,0.995,0.89179,0.54663,0.42338,1.07638,0.000410409,0.000410409,0.000410409
74,359.231,0.51821,0.40534,1.04514,0.80963,0.994,0.995,0.86698,0.56527,0.47106,1.06943,0.000396262,0.000396262,0.000396262
75,364.082,0.49322,0.42489,1.03481,0.90405,0.95457,0.995,0.89678,0.51347,0.41532,1.00599,0.000382115,0.000382115,0.000382115
76,369.055,0.48864,0.41028,1.03224,0.90364,0.96013,0.995,0.8397,0.57512,0.44825,1.08814,0.000367967,0.000367967,0.000367967
77,373.881,0.51114,0.40766,1.0488,0.90125,0.96104,0.995,0.83478,0.59589,0.46881,1.12795,0.00035382,0.00035382,0.00035382
78,378.725,0.48734,0.40359,1.03223,0.90382,0.95631,0.9675,0.83128,0.5778,0.46757,1.1498,0.000339673,0.000339673,0.000339673
79,383.596,0.47439,0.40016,1.01459,0.89912,0.96162,0.9675,0.85592,0.53536,0.45223,1.08183,0.000325526,0.000325526,0.000325526
80,388.431,0.48294,0.38857,1.04036,0.87898,0.93666,0.94,0.83401,0.51971,0.49664,1.05659,0.000311379,0.000311379,0.000311379
81,393.182,0.48642,0.3845,1.03617,0.89007,0.91952,0.94,0.83649,0.52269,0.53206,1.066,0.000297232,0.000297232,0.000297232
82,398.012,0.48047,0.38704,1.02232,0.8602,0.90135,0.88008,0.78224,0.526,0.65256,1.06986,0.000283085,0.000283085,0.000283085
83,402.832,0.48379,0.38315,1.02273,0.85878,0.90155,0.90444,0.80622,0.55601,0.70118,1.10035,0.000268938,0.000268938,0.000268938
84,407.669,0.48898,0.38668,1.0347,0.84612,0.92383,0.9675,0.87098,0.52015,0.62677,1.04587,0.000254791,0.000254791,0.000254791
85,412.48,0.47721,0.39118,1.02473,0.81055,0.9888,0.995,0.90399,0.48206,0.53509,0.9995,0.000240644,0.000240644,0.000240644
86,417.328,0.48627,0.38313,1.0316,0.83055,0.97701,0.995,0.91927,0.46738,0.45307,0.98564,0.000226497,0.000226497,0.000226497
87,422.211,0.46799,0.36599,1.02106,0.89992,0.95884,0.995,0.90266,0.49174,0.34384,1.02222,0.000212349,0.000212349,0.000212349
88,427.038,0.48999,0.38501,1.03176,0.90153,0.97126,0.995,0.9017,0.51444,0.33869,1.0446,0.000198202,0.000198202,0.000198202
89,431.839,0.46007,0.37784,1.02155,0.8971,0.97253,0.995,0.9189,0.48312,0.33214,1.00255,0.000184055,0.000184055,0.000184055
90,436.681,0.48932,0.38833,1.0343,0.89892,0.96559,0.995,0.90576,0.47323,0.34512,0.99775,0.000169908,0.000169908,0.000169908
91,441.135,0.3487,0.38311,0.98137,0.90835,0.95325,0.995,0.87843,0.5262,0.37316,1.03639,0.000155761,0.000155761,0.000155761
92,445.575,0.33623,0.34221,0.98405,0.90508,0.9631,0.995,0.8895,0.51515,0.37732,1.01373,0.000141614,0.000141614,0.000141614
93,449.941,0.32485,0.31457,0.96361,0.89994,0.96743,0.995,0.90957,0.47835,0.37943,0.9887,0.000127467,0.000127467,0.000127467
94,454.361,0.31291,0.29696,0.94527,0.90484,0.95852,0.995,0.90522,0.47531,0.3812,0.98153,0.00011332,0.00011332,0.00011332
95,458.854,0.30681,0.29386,0.95476,0.90807,0.95352,0.995,0.91881,0.45828,0.38298,0.9675,9.91726e-05,9.91726e-05,9.91726e-05
96,463.226,0.29926,0.29666,0.92812,0.90765,0.95402,0.995,0.93292,0.46095,0.38009,0.96722,8.50255e-05,8.50255e-05,8.50255e-05
97,467.663,0.30648,0.29392,0.94266,0.90822,0.95343,0.995,0.93029,0.46969,0.37792,0.98189,7.08784e-05,7.08784e-05,7.08784e-05
98,472.065,0.30703,0.28572,0.94819,0.90792,0.95251,0.995,0.93567,0.47246,0.38924,0.98244,5.67313e-05,5.67313e-05,5.67313e-05
99,476.512,0.2915,0.27387,0.93757,0.90681,0.95375,0.9675,0.90027,0.4652,0.39304,0.97932,4.25842e-05,4.25842e-05,4.25842e-05
100,480.955,0.29445,0.27134,0.94987,0.90569,0.95601,0.9675,0.89506,0.45957,0.37463,0.9785,2.84371e-05,2.84371e-05,2.84371e-05
